Spy Character Selection      Smallman    Duke    Salmon    Rocker    Taft    Alice    Teal    Sikh    Carlos    Sari    Bling    Morgan    Plain    Oprah    Queen    Boots    General    Disney    Helen    Irish    Wheels
Pizzelio                        6.25%   6.25%     9.38%     3.12%   6.25%    6.25%   6.25%   9.38%     3.12%   0.00%    6.25%     3.12%    3.12%    0.00%    6.25%    6.25%      6.25%     6.25%    3.12%    3.12%     0.00%
plastikqs                       0.00%   1.82%     9.09%    16.36%   1.82%    7.27%   7.27%   7.27%     0.00%   3.64%    7.27%     7.27%    5.45%    1.82%    0.00%    5.45%      7.27%     5.45%    0.00%    1.82%     3.64%
pofke                           3.37%   2.25%     3.37%     5.62%   2.25%   14.61%   0.00%   7.87%     0.00%  10.11%    5.62%     4.49%    3.37%   12.36%    2.25%    1.12%      5.62%     5.62%    0.00%    8.99%     1.12%
portalfreek                     9.28%   6.19%     2.06%     6.19%   2.06%    6.19%   8.25%   2.06%     3.09%   4.12%    4.12%     8.25%    5.15%    5.15%    4.12%    3.09%      5.15%     2.06%    7.22%    3.09%     3.09%
pox                             0.86%   3.45%     7.76%     3.45%   4.31%    3.45%   4.31%   5.17%     0.00%   3.45%    1.72%     6.03%    7.76%    6.03%    9.48%    1.72%      6.90%     1.72%    8.62%   10.34%     3.45%
pressftopayrespect              0.00%   0.00%    14.29%    14.29%   0.00%    0.00%   0.00%   0.00%     0.00%   0.00%    0.00%    28.57%   14.29%    0.00%   14.29%    0.00%      0.00%     0.00%   14.29%    0.00%     0.00%
pwndnoob                        7.30%   2.19%     2.19%     5.11%   2.92%    7.30%   5.84%   4.38%     1.46%   9.49%    6.57%     4.38%    5.84%    5.84%    1.46%    0.73%      4.38%     2.92%    6.57%   10.95%     2.19%
quicklime                       7.75%  10.08%     3.88%     6.20%  12.40%    4.65%   4.65%   1.55%     6.20%   2.33%    3.10%     7.75%    7.75%    3.10%    3.88%    6.20%      0.78%     3.10%    2.33%    1.55%     0.78%
Rai                            25.00%   0.00%     6.25%    12.50%   6.25%    6.25%   0.00%   6.25%     0.00%   0.00%    0.00%     6.25%    0.00%   12.50%    6.25%    0.00%      0.00%    12.50%    0.00%    0.00%     0.00%
Ranmilia                       11.76%   3.92%     5.88%     1.96%   7.84%    5.88%   5.88%   1.96%     0.00%   3.92%    1.96%    13.73%    3.92%    7.84%    5.88%    3.92%      1.96%     0.00%    3.92%    7.84%     0.00%
realofoxtrot                    5.13%   7.69%     5.13%     7.69%   0.00%    5.13%   5.13%  10.26%     2.56%   2.56%    5.13%     5.13%    2.56%    7.69%    7.69%    0.00%      2.56%     5.13%    5.13%    5.13%     2.56%
redscharlach                    5.00%   2.50%    10.00%     2.50%   0.00%   10.00%  12.50%   0.00%     0.00%   0.00%   15.00%     2.50%    5.00%    2.50%    2.50%    2.50%      5.00%     2.50%    2.50%   10.00%     7.50%
Rooks                           7.27%   3.64%     0.00%     5.45%   5.45%   10.91%   1.82%   5.45%     3.64%   3.64%    1.82%    10.91%    1.82%    7.27%    5.45%    5.45%      3.64%     3.64%    5.45%    3.64%     3.64%
rooks                           0.00%   0.00%     0.00%     0.00%   0.00%    0.00%   0.00%   0.00%     0.00%  22.22%    0.00%    44.44%    0.00%    0.00%    0.00%    0.00%     22.22%     0.00%    0.00%    0.00%    11.11%
royalflush                      4.59%   1.83%     7.34%    12.84%   2.75%   10.09%   2.75%   9.17%     4.59%   0.00%    5.50%     2.75%    2.75%    0.92%    2.75%    3.67%      9.17%     4.59%    0.00%   11.93%     0.00%
rta                             0.00%   5.13%     7.69%    12.82%   5.13%   10.26%  10.26%   2.56%     0.00%   5.13%    7.69%     0.00%    0.00%    2.56%    0.00%    7.69%      0.00%     7.69%   12.82%    2.56%     0.00%
Ryooo                           2.94%   3.92%     0.98%     2.94%   1.96%    8.82%   4.90%   0.00%     0.98%   3.92%    5.88%     9.80%    4.90%    3.92%   11.76%    0.98%     13.73%     0.98%    4.90%    9.80%     1.96%
Ryooo*                          4.35%   4.35%     0.00%    13.04%   4.35%   13.04%   4.35%   0.00%     0.00%   8.70%    8.70%    17.39%    0.00%    0.00%    0.00%    0.00%      8.70%     0.00%    4.35%    4.35%     4.35%
s76561197960665911              0.00%   0.00%    16.67%     0.00%  16.67%    0.00%   0.00%   0.00%     0.00%  16.67%    0.00%     0.00%    0.00%    0.00%   16.67%    0.00%      0.00%     0.00%    0.00%   16.67%    16.67%
s76561197962211538              0.00%   8.70%     0.00%     0.00%   4.35%    0.00%   8.70%   4.35%     8.70%   4.35%    0.00%     4.35%    0.00%    8.70%    4.35%    4.35%      8.70%     4.35%    8.70%   13.04%     4.35%
s76561197962409465             19.05%   4.76%     0.00%     4.76%   0.00%    0.00%   9.52%   0.00%     9.52%   4.76%    9.52%     4.76%    4.76%    4.76%    4.76%    0.00%      0.00%    14.29%    4.76%    0.00%     0.00%
s76561197993456144              0.00%   0.00%     0.00%     0.00%   0.00%    0.00%  11.11%   0.00%    11.11%  22.22%    0.00%    11.11%    0.00%    0.00%   22.22%    0.00%     11.11%     0.00%   11.11%    0.00%     0.00%
s76561197995352411             20.00%   0.00%     0.00%     0.00%   0.00%   15.00%   5.00%  10.00%     0.00%   5.00%    0.00%    15.00%    5.00%    0.00%    0.00%    0.00%      5.00%     0.00%    5.00%   10.00%     5.00%
s76561197998032388              9.09%   4.55%     4.55%     4.55%   4.55%    4.55%   9.09%   4.55%     0.00%   6.82%    0.00%     4.55%    4.55%    2.27%    4.55%    9.09%      2.27%     2.27%    6.82%    9.09%     2.27%
s76561198018620847              0.00%   0.00%     4.76%     9.52%   9.52%    9.52%   9.52%   0.00%     4.76%   0.00%    4.76%     0.00%   14.29%    0.00%    4.76%    0.00%      0.00%     4.76%    0.00%   19.05%     4.76%
s76561198028019690              5.00%   5.00%     5.00%     0.00%   5.00%   15.00%  10.00%   0.00%     0.00%   0.00%    0.00%    10.00%   10.00%    0.00%    0.00%   10.00%      5.00%    10.00%    0.00%   10.00%     0.00%
s76561198045758510             13.33%   6.67%     0.00%     0.00%   0.00%    0.00%   0.00%   0.00%     6.67%   0.00%    6.67%     6.67%    0.00%    6.67%    0.00%    0.00%     26.67%     6.67%   20.00%    0.00%     0.00%
s76561198054993175              5.88%   0.00%    11.76%     5.88%   5.88%   11.76%   0.00%   0.00%     0.00%   0.00%   11.76%    23.53%    0.00%    0.00%    0.00%   11.76%      5.88%     0.00%    0.00%    0.00%     5.88%
s76561198202214763             16.67%   0.00%     0.00%     0.00%   0.00%   16.67%   0.00%   0.00%    16.67%   0.00%    0.00%     0.00%    0.00%    0.00%   16.67%    0.00%      0.00%     0.00%   16.67%   16.67%     0.00%
scallions                       8.42%   1.05%     1.05%     4.21%  10.53%   10.53%   1.05%   2.11%     0.00%  28.42%    2.11%    11.58%    4.21%    3.16%    1.05%    2.11%      1.05%     2.11%    1.05%    1.05%     3.16%
sergioc89                       6.67%   6.67%     3.33%     0.00%   0.00%    3.33%   0.00%   6.67%     0.00%   6.67%   16.67%    20.00%    0.00%    3.33%    0.00%    3.33%     16.67%     3.33%    0.00%    3.33%     0.00%
sgnurf                          0.00%   4.55%     3.41%    11.36%   2.27%    6.82%   6.82%   7.95%     4.55%   3.41%    5.68%     3.41%    4.55%    3.41%    5.68%    6.82%      4.55%     6.82%    1.14%    4.55%     2.27%
sharper                         7.69%   5.77%     3.85%     1.92%   1.92%    5.77%  11.54%   1.92%     3.85%   1.92%    0.00%     7.69%    7.69%    5.77%    3.85%    5.77%      0.00%     3.85%    7.69%    5.77%     5.77%
Sheph                           2.30%   2.30%     3.45%     4.60%   6.90%    9.20%   5.75%   5.75%     3.45%   0.00%    3.45%     4.60%    5.75%    8.05%    3.45%    5.75%      6.90%     3.45%    2.30%    6.90%     5.75%
sikeeatric                      5.36%   7.14%     5.36%     3.57%   7.14%   12.50%   7.14%   3.57%     0.00%   7.14%    1.79%     5.36%    7.14%    1.79%    7.14%    3.57%      0.00%     3.57%    5.36%    5.36%     0.00%
Silverthorn                     5.56%   0.00%     0.00%     8.33%   0.00%   11.11%   2.78%   2.78%     0.00%   0.00%    8.33%    11.11%    2.78%   11.11%   11.11%    0.00%      5.56%     0.00%    0.00%   19.44%     0.00%
Sirenktank                     12.50%  12.50%     0.00%     0.00%  12.50%    0.00%   0.00%   0.00%     0.00%   0.00%   12.50%     0.00%   12.50%    0.00%    0.00%    0.00%      0.00%    12.50%    0.00%   25.00%     0.00%
skrewwl00se                     8.75%   1.25%     1.25%     1.25%   1.25%    5.00%   3.75%  11.25%     0.00%   1.25%    6.25%    20.00%    6.25%    6.25%    5.00%    0.00%     10.00%     2.50%    1.25%    6.25%     1.25%
slappydavis                     0.00%   4.82%     4.82%     8.43%   0.00%    3.61%   6.02%  10.84%     0.00%   2.41%    9.64%     1.20%    1.20%    4.82%    4.82%    4.82%      3.61%     8.43%    6.02%    7.23%     7.23%
Smiddy                          3.39%   0.00%     3.39%    15.25%   5.08%    3.39%   8.47%   3.39%     1.69%   5.08%    1.69%     6.78%    3.39%    3.39%    6.78%   10.17%      5.08%     6.78%    0.00%    5.08%     1.69%
smonteGaming                    0.00%   2.25%     4.49%     2.25%   0.00%   10.11%   8.99%   2.25%     2.25%   3.37%    7.87%     1.12%    1.12%   11.24%    1.12%    1.12%     10.11%     0.00%    6.74%   22.47%     1.12%
soolseem                        4.35%   7.61%     6.52%     6.52%   5.43%    4.35%   2.17%   2.17%     2.17%   4.35%    5.43%     3.26%    5.43%    8.70%    3.26%    7.61%      3.26%     4.35%    6.52%    6.52%     0.00%
spedmonkey                      8.96%   0.00%     2.99%     1.49%   0.00%    7.46%   4.48%   2.99%     1.49%   7.46%    2.99%    10.45%    2.99%   11.94%    4.48%    2.99%      8.96%     5.97%    2.99%    4.48%     4.48%
steph                           0.00%   8.33%     8.33%    16.67%  16.67%    8.33%   0.00%   0.00%     0.00%   0.00%    0.00%     0.00%    0.00%    8.33%    0.00%    0.00%      8.33%    16.67%    0.00%    8.33%     0.00%
strobo                          6.25%   0.00%     6.25%     0.00%   0.00%   12.50%  12.50%   6.25%     0.00%   0.00%   25.00%    12.50%    0.00%    6.25%    0.00%    0.00%      0.00%     0.00%    0.00%   12.50%     0.00%
Sun Bro                        13.79%   1.72%     8.62%     5.17%   6.90%    5.17%   1.72%   1.72%     3.45%   3.45%    6.90%     6.90%    6.90%    1.72%    3.45%    6.90%      3.45%     5.17%    3.45%    1.72%     1.72%
supposablemeg                   0.00%   0.00%    12.50%     0.00%   0.00%    0.00%  12.50%   0.00%     0.00%  12.50%   12.50%     0.00%    0.00%   25.00%    0.00%   25.00%      0.00%     0.00%    0.00%    0.00%     0.00%
sykosloth                       3.28%   0.00%     0.00%     8.20%   1.64%    8.20%   4.92%   0.00%     0.00%   3.28%    4.92%     6.56%    8.20%   13.11%    3.28%    4.92%      4.92%     6.56%    3.28%    4.92%     9.84%
Tabsies                         8.47%   1.69%     0.00%     1.69%   0.00%    6.78%   1.69%   5.08%     1.69%  22.03%    3.39%     1.69%    3.39%    3.39%    6.78%    1.69%     15.25%     1.69%    6.78%    3.39%     3.39%
TarekMak                        4.55%   0.00%     9.09%     9.09%   0.00%    4.55%   4.55%   0.00%     0.00%  13.64%    9.09%     4.55%    0.00%    4.55%    0.00%    4.55%      0.00%     9.09%    0.00%    9.09%    13.64%
teetery                         6.67%   4.44%     2.22%     8.89%   0.00%    6.67%  13.33%   0.00%     2.22%   4.44%    4.44%     4.44%    6.67%    4.44%    2.22%    0.00%      2.22%    11.11%    6.67%    4.44%     4.44%
tflameee                       20.00%   0.00%     0.00%     0.00%   8.00%    0.00%   8.00%   2.00%     2.00%   2.00%    6.00%    26.00%    2.00%    0.00%    0.00%    0.00%      8.00%    10.00%    2.00%    4.00%     0.00%
tge                             0.00%   0.00%    20.00%     0.00%   0.00%    0.00%   0.00%   0.00%     0.00%   0.00%    0.00%     0.00%   20.00%   20.00%    0.00%    0.00%      0.00%    20.00%    0.00%   20.00%     0.00%
ThatOdinaryPlayer               0.00%  11.11%    11.11%    11.11%   0.00%   22.22%   0.00%   0.00%    11.11%   0.00%   11.11%     0.00%    0.00%    0.00%   11.11%   11.11%      0.00%     0.00%    0.00%    0.00%     0.00%
the_usual_toaster               4.48%   2.99%     0.00%     0.00%   4.48%   19.40%   7.46%   1.49%     4.48%   1.49%    7.46%     4.48%    5.97%    2.99%    5.97%    5.97%      5.97%     1.49%    0.00%   13.43%     0.00%
TheAlpacalypse                 20.00%   0.00%     0.00%    20.00%   0.00%   20.00%   0.00%   0.00%     0.00%   0.00%   20.00%     0.00%    0.00%    0.00%    0.00%    0.00%     20.00%     0.00%    0.00%    0.00%     0.00%
TheSmiddy                       3.85%   0.00%     3.85%     7.69%   7.69%    7.69%   0.00%   0.00%     0.00%  11.54%    0.00%    11.54%    0.00%    3.85%    3.85%    7.69%      7.69%     3.85%    3.85%   11.54%     3.85%
toamini                         0.00%   0.00%     0.00%    12.50%  12.50%    0.00%   0.00%   0.00%    12.50%   0.00%    0.00%     0.00%   12.50%    0.00%   12.50%   25.00%      0.00%     0.00%    0.00%   12.50%     0.00%
Tortuga-Man                     0.00%   0.00%     0.00%     0.00%   7.14%   14.29%   7.14%   7.14%     0.00%   7.14%   14.29%     7.14%    0.00%    7.14%    7.14%    0.00%      7.14%     0.00%    7.14%    0.00%     7.14%
trevor                          0.00%   9.09%     9.09%     9.09%   0.00%    0.00%   0.00%   0.00%     0.00%   0.00%    0.00%     0.00%    0.00%    0.00%    0.00%    0.00%     18.18%     0.00%   18.18%   36.36%     0.00%
tristram                        2.17%   2.17%     4.35%     0.00%   6.52%   10.87%   4.35%  10.87%     4.35%   8.70%    2.17%    10.87%    6.52%    4.35%    6.52%    0.00%      2.17%     0.00%    4.35%    6.52%     2.17%
trollikene                      2.86%   5.71%     5.71%     5.71%   8.57%    8.57%   2.86%   2.86%     5.71%   5.71%    0.00%     8.57%    2.86%    5.71%    2.86%    5.71%      5.71%     2.86%    2.86%    0.00%     8.57%
turnipboy                       3.31%   4.96%     4.13%    15.70%   1.65%    8.26%   5.79%   1.65%     3.31%   4.13%    2.48%     3.31%    3.31%    3.31%    4.96%    3.31%      9.09%     1.65%    4.13%    9.92%     1.65%
turnout8                        8.33%   4.55%     9.85%     1.52%   9.09%   10.61%  10.61%   0.76%     0.76%   5.30%    6.82%     4.55%    6.82%    0.00%    0.00%    6.06%      5.30%     5.30%    0.00%    3.03%     0.76%
umbertofinito                  16.67%   0.00%     0.00%     5.56%  11.11%   11.11%   0.00%   0.00%     5.56%  11.11%   16.67%     5.56%    5.56%    5.56%    0.00%    5.56%      0.00%     0.00%    0.00%    0.00%     0.00%
Vac58                           7.69%   3.85%     5.77%     9.62%   9.62%    3.85%   3.85%   1.92%     1.92%   5.77%    3.85%     7.69%    9.62%    5.77%    3.85%    5.77%      3.85%     5.77%    0.00%    0.00%     0.00%
varanas                         2.00%   4.00%     0.00%     6.00%   4.00%    8.00%   4.00%   2.00%     4.00%   4.00%    4.00%     8.00%    4.00%    6.00%    6.00%    8.00%      4.00%     2.00%    4.00%   10.00%     6.00%
ventuskitsune                   3.57%   3.57%     1.79%     5.36%   5.36%    5.36%   5.36%   3.57%     3.57%   1.79%   14.29%     5.36%    5.36%    7.14%    3.57%    5.36%      0.00%     8.93%    0.00%    1.79%     8.93%
virifaux                        0.00%   0.00%     0.00%     8.33%   0.00%    0.00%   0.00%   0.00%     0.00%  25.00%   16.67%     0.00%    0.00%    8.33%    8.33%    0.00%      0.00%    16.67%    8.33%    8.33%     0.00%
virus                           0.00%   0.00%     0.00%    10.00%   0.00%   10.00%   0.00%   0.00%     0.00%   0.00%   30.00%     0.00%   10.00%    0.00%   10.00%    0.00%      0.00%     0.00%   10.00%    0.00%    20.00%
Vlady                          33.33%   0.00%     0.00%     0.00%   0.00%    0.00%   0.00%   0.00%     0.00%   0.00%    0.00%     0.00%    0.00%    0.00%    0.00%    0.00%      0.00%     0.00%   33.33%   33.33%     0.00%
walliard                        4.35%   4.35%     0.00%     4.35%   4.35%    4.35%   0.00%  13.04%     0.00%   0.00%    4.35%     8.70%    4.35%   17.39%    4.35%    0.00%      4.35%     8.70%    4.35%    8.70%     0.00%
warningtrack                    9.42%   6.52%     1.45%     4.35%   5.80%    5.80%   1.45%   0.72%     0.00%   8.70%    5.07%     5.80%    6.52%    2.17%    5.07%    8.70%      1.45%     2.90%    5.80%    7.97%     4.35%
waterhouse                      0.00%   2.94%     8.82%     8.82%  14.71%    0.00%   5.88%   5.88%     0.00%   0.00%    0.00%     2.94%   14.71%    5.88%    2.94%    5.88%      5.88%     2.94%    2.94%    8.82%     0.00%
Watermeat                       4.71%   4.71%     0.00%     3.53%   2.35%    8.24%   1.18%   2.35%     3.53%   9.41%    3.53%     1.18%    7.06%    3.53%    5.88%    5.88%      2.35%     7.06%    3.53%   17.65%     2.35%
whitenoise                      7.14%   7.14%    14.29%     7.14%   0.00%    7.14%   0.00%   7.14%     0.00%   0.00%    7.14%    14.29%    0.00%    7.14%    0.00%    7.14%      7.14%     0.00%    0.00%    7.14%     0.00%
wodar                          16.96%   0.89%     3.57%     7.14%   8.93%    8.93%   8.04%   3.57%     2.68%   0.00%    6.25%     1.79%    2.68%    2.68%    4.46%    4.46%      3.57%     3.57%    1.79%    6.25%     1.79%
xemnes                          0.00%   3.57%     7.14%     3.57%  14.29%    3.57%   3.57%  10.71%    10.71%   3.57%   10.71%     7.14%    0.00%    0.00%    0.00%    0.00%      3.57%     3.57%    0.00%    7.14%     7.14%
xryanmacx                       9.30%   0.00%     9.30%     0.00%   2.33%    6.98%   9.30%   0.00%     0.00%   4.65%    6.98%     0.00%    2.33%    9.30%    0.00%    4.65%     11.63%     9.30%    4.65%    4.65%     4.65%
yeesh                           1.05%   3.16%     2.11%    11.58%   3.16%    2.11%   4.21%   5.26%     0.00%   4.21%    3.16%     1.05%   11.58%   10.53%    4.21%    7.37%      3.16%     8.42%    3.16%    8.42%     2.11%
yerand                          4.24%   5.93%     6.78%     6.78%   5.93%    5.08%   0.85%   5.08%     4.24%   5.08%    5.93%     4.24%    3.39%    7.63%    4.24%    5.08%      0.85%     4.24%    3.39%    7.63%     3.39%
Yglini                          6.25%   2.08%     2.08%     4.17%   2.08%    6.25%   0.00%   4.17%     0.00%   6.25%    6.25%    10.42%   10.42%    4.17%    8.33%    4.17%      6.25%     2.08%    0.00%   14.58%     0.00%
yoric                           0.00%   9.52%     0.00%     9.52%   4.76%    9.52%   4.76%   0.00%     9.52%   0.00%    4.76%     9.52%    0.00%    9.52%    9.52%    4.76%      0.00%     0.00%    9.52%    0.00%     4.76%
zerodoom                        2.06%   5.15%     3.09%     5.15%   6.19%    9.28%   1.03%   5.15%     4.12%   4.12%    7.22%     7.22%    3.09%    5.15%    2.06%    1.03%      7.22%     6.19%    2.06%   12.37%     1.03%
zerotka                        12.50%  12.50%    12.50%     0.00%   0.00%    0.00%   0.00%  12.50%    25.00%   0.00%    0.00%    12.50%    0.00%    0.00%    0.00%    0.00%      0.00%     0.00%   12.50%    0.00%     0.00%
