Spy Character Selection      Smallman    Duke    Salmon    Rocker    Taft    Alice    Teal    Sikh    Carlos    Sari    Bling    Morgan    Plain    Oprah    Queen    Boots    General    Disney    Helen    Irish    Wheels
Calvin Schoolidge               1.30%   3.90%     5.19%     1.30%   1.30%    6.49%   2.60%   7.79%     0.00%  14.29%    7.79%    10.39%    9.09%    3.90%    5.19%    2.60%      6.49%     2.60%    1.30%    3.90%     2.60%
cameraman                       5.00%   0.00%     0.00%     5.00%   5.00%    5.00%   5.00%  10.00%     0.00%   5.00%   15.00%    10.00%   15.00%    5.00%    5.00%    0.00%      5.00%     0.00%    0.00%    5.00%     0.00%
canadianbacon                   1.89%   4.72%     0.94%     4.72%   0.00%    7.55%   5.66%   2.83%     2.83%   2.83%    8.49%     0.94%    6.60%    9.43%    3.77%    9.43%      3.77%    11.32%    1.89%    6.60%     3.77%
Cartwright                      2.47%   7.41%     0.00%     1.23%   0.00%    8.64%   6.17%   3.70%     1.23%   4.94%    4.94%    12.35%    6.17%    6.17%    1.23%    3.70%      7.41%     7.41%    2.47%   12.35%     0.00%
catnip                          0.00%   4.65%     2.33%     8.14%   0.00%    5.81%  13.95%   2.33%     1.16%   2.33%    6.98%     1.16%    3.49%    4.65%    3.49%    9.30%      4.65%     5.81%    0.00%   19.77%     0.00%
Cerinn                         27.59%   6.90%     0.00%     6.90%   6.90%    0.00%   6.90%   0.00%     3.45%   6.90%    3.45%     3.45%    6.90%    0.00%    0.00%    0.00%      3.45%     3.45%    0.00%    0.00%    13.79%
checker                         1.04%   4.17%     4.17%     6.25%   6.25%    6.25%   7.29%   7.29%     1.04%   3.12%    5.21%     3.12%    3.12%    6.25%    6.25%    6.25%      4.17%     3.12%    5.21%    8.33%     2.08%
cleetose                       14.63%   2.44%     2.44%     1.22%   6.10%    7.32%   1.22%   2.44%     1.22%   1.22%    4.88%    15.85%    3.66%    6.10%    3.66%    4.88%      7.32%     4.88%    2.44%    2.44%     3.66%
cronk                          11.11%   5.56%     0.00%     2.78%  19.44%    2.78%   5.56%   0.00%     0.00%   0.00%    5.56%    30.56%    2.78%    0.00%    0.00%    0.00%      0.00%     2.78%    5.56%    2.78%     2.78%
daheadhunter                    4.35%   2.17%     0.00%     0.00%   2.17%    8.70%   2.17%   2.17%     4.35%   4.35%   13.04%    10.87%    4.35%    4.35%    8.70%    4.35%     10.87%     4.35%    2.17%    4.35%     2.17%
